,operator,frequency,error,complexity,runtime
85,10,780,66.245633392752,18425.142929292928,1.898131851163326
86,10,780,60.98875358002097,16832.632189707365,1.7942966826121003
87,10,780,63.834658122989865,16101.119205298013,1.774304402423752
88,10,780,62.00896620141482,16673.032888465204,1.6633766619852604
89,10,780,60.13758063167237,16070.308163265307,1.7245396945568523
90,10,780,65.75901480850628,16755.097243107768,1.8041785313913548
91,10,780,63.267737980132054,15716.338875305624,1.7311845892416382
92,10,780,62.3772157631586,18409.532520325203,1.7782565609957053
93,10,780,63.30440435312835,15720.746416213544,1.7413915460906255
94,10,780,61.36909179285139,16052.200202224469,1.7582726346082134
95,10,780,66.80840351141377,16863.306766917292,1.7014028672549062
96,10,780,62.12454623624555,15630.212847555129,1.590789822559743
97,10,780,66.65395182039599,15790.35986328125,1.5491113524603861
98,10,780,67.1134775624518,15895.781862745098,1.5522707255977188
99,10,780,63.05085442278679,16310.3695976155,1.6491236234564006
100,10,0,2.7854536734518347,1609019.6837002626,68.20814012685443
101,10,0,2.9129459358550287,1598211.537859008,68.0479638067679
102,10,0,2.799972265688396,1439313.2455675565,68.11531808698751
103,10,0,2.807268529621429,1613781.5343197698,67.24623589272325
104,10,0,2.8906727623798014,1823853.8794100059,68.86953393746228
105,10,0,2.87322190465058,1613516.8235294118,68.75468833764293
106,10,0,2.994426891662233,1601051.9276128507,67.4121057978843
107,10,0,2.687044680965703,1814528.5596800656,68.16363904594235
108,10,0,2.7820554791755505,1593586.4248961012,65.30397174848207
109,10,0,2.7707356503804577,1599955.2173913044,66.40931443557052
110,10,0,2.892392898382305,1801765.375205592,68.20038443976573
111,10,0,2.868211004265584,1599244.3103448276,67.33939373053897
112,10,0,2.8602957342562934,1668044.051220004,65.84100944241146
113,10,0,2.677651108245177,1659711.4824561405,67.40343236206354
114,10,0,2.6649926717510746,1608373.5354027187,66.4733114611145
115,10,0,2.8356457177943932,1606766.1733091788,66.79476131866919
116,10,0,2.7599118374813796,1595790.302584493,66.22146225486239
117,10,0,2.6793594556003444,1595487.0945483807,66.32462223456677
118,10,0,2.9038740325496866,1595139.7953808752,65.85741692912845
119,10,0,2.825433377842586,1432276.1304347827,66.59891235221204
120,50,3624,10.540328559193968,217591.20509193777,10.814486052366723
121,50,3624,10.133740499985574,295994.86075949366,11.738488917336877
122,50,3624,10.00935868143691,297388.8532409295,11.590442093335247
123,50,3624,10.128613491462188,299139.47398725065,11.432089102662275
124,50,3624,10.558651363562785,216041.29306220094,10.38799993916633
125,50,3624,10.497333257118752,219043.79971181558,10.814514659983924
126,50,3624,9.791851888019979,298141.5318413021,11.28166800588445
127,50,3624,10.588931479010832,219885.83545342635,10.378924711115559
128,50,3624,10.96346000015414,216492.2249059592,10.697517670518431
129,50,3624,10.088399066459006,297261.6162249646,10.945930131173148
130,50,3624,10.522648944670994,298764.7401234568,11.257336037463428
131,50,3624,10.111464163196144,217367.18283881314,10.432783796757448
132,50,3624,10.255912020271236,217703.80225988702,11.124667136808158
133,50,3624,10.580272354127413,298612.49540535023,10.930545157654988
134,50,3624,10.293204083652807,278565.2274111675,11.06190055362918
135,50,3624,10.461968985741029,273834.56072507554,10.656275630207341
136,50,3624,10.74123383820747,293248.4052924791,10.918289630525955
137,50,3624,10.064070717843174,296506.34246023756,10.634390187461191
138,50,3624,10.322396569842395,277236.66626115167,10.600346830463533
139,50,3624,10.599516242407582,218384.37001820756,10.375331247806844
140,50,763,16.94391602458351,107770.62492425773,6.0243438150552375
141,50,763,16.523467138619086,108098.99457722434,5.88394047020534
142,50,763,16.634085758693875,108498.76803913576,5.857084577472609
143,50,763,16.287671084380918,108958.91140801644,5.6801684895666265
144,50,763,16.387082858357385,107347.96252740682,5.802685158664703
145,50,763,16.344570563005977,96747.72645002056,5.48480010060084
146,50,763,16.7888666621594,109100.39576977832,5.687218411824272
147,50,763,17.12960403073737,109115.37899917965,5.352144964727695
148,50,763,16.31041876963813,107276.40649119335,5.281594502279753
149,50,763,15.914347537386895,108522.78883495145,5.4820657024517185
150,50,763,16.251999820385873,109206.57701007609,5.377340197058346
151,50,763,16.698509512050126,108012.60024057739,5.163214570781442
152,50,763,16.858990612266215,108127.2601855587,5.144017956570128
153,50,763,15.880100224324837,108309.68612244898,5.29141663630702
154,50,763,16.297337686475135,108429.60259792977,5.099160333701054
155,50,763,16.610044977666934,107701.59178743961,5.041339008483267
156,50,763,16.281852165036884,107450.00596540068,5.040349362951034
157,50,763,16.32179846779165,108146.29531281433,5.151843868894456
158,50,763,16.55060814027646,107810.31888168557,5.086025695306682
159,50,763,16.449063676618827,108481.59741047947,5.20484448617259
160,50,0,2.8353836404984087,1737027.6307816603,66.59906103411718
161,50,0,2.817019499199735,1777978.1442056638,68.15845370533958
162,50,0,2.8124484746248744,1721019.038108824,67.43169946892866
163,50,0,2.8630994812264143,1738300.952733251,69.36999527677018
164,50,0,2.912423433912793,1563169.0954753838,66.89922112957808
165,50,0,2.921936961811521,1729604.1883998355,67.97269772809474
166,50,0,2.844724823200054,1724097.9812932087,66.85836879584231
167,50,0,2.7379848397139477,1784723.5036915503,68.34024065405274
168,50,0,2.7570133276709936,1719840.9317237285,64.91732486442038
169,50,0,2.8542625627843092,1712872.912436805,67.80674242592512
170,50,0,2.8205132511380495,1661064.5723684211,67.71462305263604
171,50,0,2.7743351429905276,1703787.3696872494,65.61965391778483
172,50,0,2.8393644425875726,1793310.5908449285,68.70554512393697
173,50,0,2.719966723440628,1781112.0905752755,69.04650498876939
174,50,0,2.6803487709856078,1798088.5161290322,67.41472593727651
175,50,0,2.7235267036218525,1622328.3164251207,65.2804187723569
176,50,0,2.6934210257353186,1590161.0067594433,64.91271465290967
177,50,0,2.7189245971829648,1719465.2802253067,66.27148981855291
178,50,0,2.805455965953627,1534932.86547812,65.79610098902788
179,50,0,2.7367748173418582,1980934.2196157735,70.42761602494546
180,88,3570,6.52859300878043,277015.3709090909,17.975902396978604
181,88,3570,6.643056898992507,285096.37243873044,17.998767741677057
182,88,3570,6.519112428715852,288310.879739095,18.1076368754574
183,88,3570,6.2529338742745555,283031.98643092107,18.351438941815438
184,88,3570,6.544508003751238,284182.8995215311,17.366087143985254
185,88,3570,6.399808234833897,305240.8018926147,17.870911097679365
186,88,3570,6.782021027781903,288636.03539462975,17.65516734541075
187,88,3570,6.27727380175417,300051.86215384613,17.633258626056023
188,88,3570,6.728427680766698,301041.4109263658,17.36321436122918
189,88,3570,6.805238378498912,287684.44831074245,17.662439148081003
190,88,3570,6.5094827575740775,305477.221147912,17.91524583892619
191,88,3570,6.612686080871065,287692.1042502005,17.235188028265807
192,88,3570,6.5007111795233605,280836.88601977,17.72556606943563
193,88,3570,6.525875901212121,281251.26883037353,17.454673624045235
194,88,3570,6.6676786527369405,286385.8928136419,17.572319569630327
195,88,3570,6.56333512290037,301052.4555891239,17.41030557101737
196,88,3570,6.7503847397457974,273162.95823389024,17.057861222025352
197,88,3570,6.664003699632997,277580.39879275655,17.259039518084204
198,88,3570,6.515465235139513,287656.16291793314,17.658202960924932
199,88,3570,6.309448225674117,287630.3427068582,17.66101100560991
200,88,2675,81.01900773818537,3510.98703888335,2.4326746444870624
201,88,2675,85.01643575956271,2460.1832061068703,2.0541076313789564
202,88,2675,79.23346873399298,2593.7209543568465,2.052190200101074
203,88,2675,77.40784275422098,3574.058091286307,1.9779025535466328
204,88,2675,77.61796977937344,3529.5431976166833,1.9556856376619303
205,88,2675,77.54753238260577,2092.9539078156313,2.103423315729341
206,88,2675,78.76166805542971,3585.4006309148267,2.116420291086069
207,88,2675,74.78871407719002,3584.9816138917263,2.036383848797161
208,88,2675,80.23052325763727,2574.9980713596915,1.6867085535118758
209,88,2675,71.50025924156124,2653.0041194644696,1.6961215715183964
210,88,2675,70.02104439880003,3597.2873684210526,1.785183776856253
211,88,2675,81.11756278764408,3524.0366972477063,1.7306240200502732
212,88,2675,73.01336847188078,2589.3649085037673,1.5616062386973937
213,88,2675,71.47178650968058,3583.433234421365,1.557636510444442
214,88,2675,72.80249476399526,2218.9704329461456,1.4900651572561314
215,88,2675,70.00718139450979,2330.328125,1.488430531268629
216,88,2675,76.01324228432263,2166.7530241935483,1.4406282946677698
217,88,2675,81.29378909914983,3504.201581027668,1.497165996143263
218,88,2675,76.30801864636699,2197.4834834834833,1.402669500473801
219,88,2675,76.9482686109496,3632.1840242669364,1.6044541017253129
220,88,1844,12.724490063148176,72192.38716858935,5.390608015507339
221,88,1844,12.884431316896697,88277.46686807653,4.994108710317963
222,88,1844,12.517716613962298,72029.57638888889,5.059776748561003
223,88,1844,12.822963411954024,89165.61606591142,5.239773662156598
224,88,1844,12.58655815533586,70834.4302836596,4.857736857346758
225,88,1844,13.455224886937149,89727.83597774572,4.901754741330301
226,88,1844,13.029762656923877,89332.3239551478,4.934783402268341
227,88,1844,12.461254044184193,89413.42038216561,4.9667362621632325
228,88,1844,12.680173499299277,71000.48104030176,4.779051103386403
229,88,1844,12.880029428358881,71733.7611516626,4.498596499173238
230,88,1844,12.884863644219125,88985.04674629324,4.70082291660453
231,88,1844,13.02773277696413,70951.16278135049,4.38715073617304
232,88,1844,13.354522463041281,71578.22296341218,4.350627459057032
233,88,1844,13.014808892811697,71787.46707566462,4.415114533921784
234,88,1844,12.993699183542729,88828.46948738812,4.576044754474519
235,88,1844,12.871734859205532,71845.73516350424,4.338471856525452
236,88,1844,13.333564968473796,87747.24556507873,4.34299190930587
237,88,1844,12.840085194009596,71224.85189669087,4.243437941464249
238,88,1844,13.078423853809696,88810.96281999187,4.38407641937309
239,88,1844,12.942880280597619,71405.35980551054,4.345388591328766
240,88,0,2.7846339364217423,1719307.9874772774,68.69375210440107
241,88,0,2.7881400223002393,1564776.9435629644,66.90221037536105
242,88,0,2.808492153282606,1699814.5363766048,68.03400434744557
243,88,0,2.8567476336473865,1714278.631730374,69.61833478443086
244,88,0,2.947548083000727,1902936.399043253,69.7886924683908
245,88,0,2.93443719166716,1631527.9687371452,67.29302735189347
246,88,0,2.870604342993592,1764157.8174054495,68.60487624770315
247,88,0,2.800827155272733,1779282.3609515997,67.9986945156144
248,88,0,2.7938545608567034,1703654.4005541264,67.16627398337715
249,88,0,2.9101037971887505,1691438.0,67.1235836914263
250,88,0,2.831489583465608,1727044.0612664474,68.06367017079059
251,88,0,2.8224137791275683,1624495.9137931035,66.75090827663976
252,88,0,2.8369821235001056,1773855.8221415607,67.88711534267662
253,88,0,2.7159646309234233,1765915.6666666667,67.04768405141257
254,88,0,2.6435596583179706,1717918.3254209778,67.09572503792542
255,88,0,2.793568903610442,1696272.4130434783,66.13008272099262
256,88,0,2.685797001469854,1701768.7864811134,66.56910068870228
257,88,0,2.783236443965106,1689888.9623818146,65.36659276265793
258,88,0,2.8885665135652667,1688569.3869529983,66.20614980370095
259,88,0,2.880063630231058,1697001.1130434782,67.58701483030683
